"ID","Work Item Type","Title","Objective","Description","Test Step","Step Action","Step Expected","Area Path","Assigned To","State","QA Status","QA Comment","Source HU ID","Coverage Tag","Technique/Heuristic","Origin","BComplejidad","BPrioridadTC"
"","Test Case","006 - BI - MB - HOME - BEC - Validar certificado offline vencido","Validar la comprobacion de vigencia del certificado offline.","Comprueba el caso de certificado con antiguedad mayor a 12 horas sin inventar su resultado observable.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Decision Tables","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Acceder a BEC Offline con certificado de antiguedad mayor a 12 horas.","Se ejecuta la validacion de `Vigencia_Certificado_Offline`. No debe tratarse el certificado como vigente sin comprobarlo.","","","","","","","","","","",""
"","","","","","2","Completar la biometria y observar el resultado de la validacion.","El mensaje, estado y navegacion ante certificado vencido no estan definidos; registrar el comportamiento como gap y no asumir generacion de QR.","","","","","","","","","",""
"","Test Case","007 - BI - MB - HOME - BEC - Validar set biometrico mutado","Validar que se controle la mutacion del set biometrico.","Comprueba la condicion negativa del set biometrico respecto de la ultima sesion online.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Decision Tables","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Acceder a BEC Offline con el set biometrico mutado y certificado vigente.","Se ejecuta la validacion del set biometrico. No debe ignorarse la condicion de mutacion.","","","","","","","","","","",""
"","","","","","2","Completar la autenticacion biometrica y observar la navegacion.","El comportamiento observable ante mutacion no esta definido; registrar el gap y no asumir que se genera un QR.","","","","","","","","","",""
"","Test Case","008 - BI - MB - HOME - BEC - Generar QR con datos cacheados","Validar el uso de datos persistidos en la trama offline.","Comprueba que la generacion exitosa usa datos de la ultima sesion online.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Equivalence Partitioning","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Abrir BEC Offline con datos cacheados y completar la biometria exitosamente.","Las validaciones permiten continuar cuando los datos persistidos son validos.","","","","","","","","","","",""
"","","","","","2","Observar la trama construida y la Pantalla 10.3.","El QR se construye con datos cacheados y se muestra en Pantalla 10.3. No deben incorporarse datos no persistidos.","","","","","","","","","",""
"","","","","","3","Repetir la operacion sin datos persistidos y completar la biometria.","El resultado para datos ausentes no esta definido; registrar el gap y no generar un QR basado en datos inventados.","","","","","","","","","",""
"","Test Case","009 - BI - MB - HOME - BEC - Evaluar limites de vigencia del certificado","Validar los valores inmediatamente menor, igual y mayor a 12 horas.","Comprueba el limite de `Vigencia_Certificado_Offline` sin asumir si el borde es inclusivo.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Boundary Value Analysis","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Ejecutar el flujo con certificado inmediatamente menor a 12 horas.","Se evalua la vigencia del certificado dentro del parametro de 12 horas.","","","","","","","","","","",""
"","","","","","2","Repetir con certificado exactamente en 12 horas.","Se registra el tratamiento del limite; la inclusion o exclusion exacta no esta documentada.","","","","","","","","","",""
"","","","","","3","Repetir con certificado inmediatamente mayor a 12 horas.","Se registra el tratamiento del certificado vencido; no debe asumirse que es valido.","","","","","","","","","",""
"","Test Case","010 - BI - MB - HOME - BEC - Evaluar limite de dos QRs offline","Validar el contador en 0, 1 y 2 QRs generados.","Comprueba el limite por defecto de 2 QRs y deja pendiente la regla posterior al limite.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Boundary Value Analysis","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Generar un QR con contador 0 y luego otro con contador 1.","Los dos usos disponibles se prueban contra `Limite_QRs_Offline` por defecto 2.","","","","","","","","","","",""
"","","","","","2","Intentar generar o regenerar otro QR con contador 2.","Se observa el tratamiento del limite alcanzado. Mensaje, bloqueo, renovacion o reutilizacion no estan definidos y quedan como gap.","","","","","","","","","",""
"","Test Case","011 - BI - MB - HOME - BEC - Verificar validez temporal de 90 segundos","Validar la cuenta regresiva configurada para el QR.","Comprueba el valor de 90 segundos y observa el comportamiento alrededor del vencimiento.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Boundary Value Analysis","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Generar un QR y observar el valor inicial de la cuenta regresiva.","Se muestra una cuenta regresiva asociada a `Validez_QR_Segundos = 90`.","","","","","","","","","","",""
"","","","","","2","Observar el contador inmediatamente antes, en el limite y despues de 90 segundos.","Se registra la validez y el estado posterior; pantalla, mensaje y accion al llegar a cero no estan definidos y quedan como gap.","","","","","","","","","",""
"","Test Case","012 - BI - MB - HOME - BEC - Verificar transiciones por elegibilidad offline","Validar las transiciones de sesion offline segun elegibilidad BEC.","Comprueba las pantallas de destino para usuario BEC activo y usuario sin BEC.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1, AC3","State Transition Testing","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Iniciar sesion offline con usuario BEC activo y verificar Pantalla 10.1.","Se muestra Pantalla 10.1 con acceso a Pagos QR Offline.","","","","","","","","","","",""
"","","","","","2","Repetir con usuario sin BEC activo y verificar Pantalla 10.2.","Se muestra Pantalla 10.2 - Sin Conexion - usuario sin BEC. No debe intercambiarse el destino.","","","","","","","","","",""
"","Test Case","013 - BI - MB - HOME - BEC - Verificar transicion a QR o bloqueo","Validar las transiciones posteriores a la biometria.","Comprueba el destino con biometria exitosa y fallida.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2, AC4","State Transition Testing","Heuristic","3 - Baja","1 - Alta"
"","","","","","1","Con todas las condiciones de AC2, seleccionar BEC y completar biometria exitosa.","Se transiciona a Pantalla 10.3 - QR Transporte con QR y contador de 90 segundos.","","","","","","","","","","",""
"","","","","","2","Repetir el acceso produciendo un error biometrico.","El acceso permanece bloqueado y no se muestra QR. No debe transicionarse a Pantalla 10.3.","","","","","","","","",""
"","Test Case","014 - BI - MB - HOME - BEC - Controlar doble toque de generacion","Explorar la consistencia ante doble toque en generacion o regeneracion.","Comprueba la cantidad de operaciones y el consumo de cupo ante una accion rapida repetida.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Error Guessing","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Con validaciones exitosas tocar dos veces rapidamente el control de generacion o regeneracion.","Se registra si ocurre una o mas operaciones, el contador de cupo y el QR mostrado. La politica de doble toque no esta definida.","","","","","","","","","","",""
"","Test Case","015 - BI - MB - HOME - BEC - Controlar perdida de conectividad durante generacion","Explorar la generacion cuando la conectividad cambia durante el flujo.","Comprueba que no se asuman datos online durante la generacion offline.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1, AC2","Error Guessing","Heuristic","3 - Baja","2 - Media"
"","","","","","1","Iniciar BEC Offline y completar biometria mientras se interrumpe o mantiene la ausencia de conexion.","Se registra si se usan datos locales, se informa error o se cambia de pantalla; la HU no define este resultado.","","","","","","","","","","",""
"","Test Case","016 - BI - MB - HOME - BEC - Cancelar biometria antes de generar QR","Explorar el abandono del flujo protegido antes de una biometria exitosa.","Comprueba que cancelar o volver no exponga un QR sin autenticacion completa.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2, AC4","Exploratory/LLM","Exploratory","3 - Baja","2 - Media"
"","","","","","1","Abrir BEC Offline y cancelar o volver mientras se solicita la biometria.","El resultado de navegacion se registra; no debe mostrarse Pantalla 10.3 ni un QR sin biometria exitosa.","","","","","","","","","","",""
"","Test Case","017 - BI - MB - HOME - BEC - Conservar estado al volver de segundo plano","Explorar el ciclo de vida de la app durante la cuenta regresiva.","Comprueba si el QR y su contador conservan un estado coherente al volver a primer plano.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Exploratory/LLM","Exploratory","3 - Baja","2 - Media"
"","","","","","1","Con un QR visible, enviar Bezza a segundo plano y volver a abrirla.","Se compara el QR y el contador con el tiempo transcurrido; la conducta exacta ante segundo plano es un gap.","","","","","","","","","","",""
"","Test Case","018 - BI - MB - HOME - BEC - Recuperar tras cierre forzado offline","Explorar la recuperacion despues de cerrar forzadamente la aplicacion.","Comprueba que el cierre no otorgue acceso protegido ni reutilice un QR sin controles definidos.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1, AC2, AC4","Exploratory/LLM","Exploratory","3 - Baja","2 - Media"
"","","","","","1","Cerrar forzadamente Bezza desde Pantalla 10.1 y desde Pantalla 10.3, y reabrirla sin conexion.","Se registra la recuperacion de cada estado. No debe validarse un acceso o QR solo por existir antes del cierre.","","","","","","","","","","",""
"","Test Case","019 - BI - MB - HOME - BEC - Detectar cambio de biometria entre sesiones","Explorar la validacion del set biometrico modificado entre sesion online y offline.","Comprueba que una mutacion no sea ignorada al intentar generar un QR.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Exploratory/LLM","Exploratory","3 - Baja","2 - Media"
"","","","","","1","Modificar el set biometrico registrado y abrir Bezza sin conexion.","Se inicia la validacion de la mutacion. No debe omitirse la condicion del set biometrico.","","","","","","","","","","",""
"","","","","","2","Acceder a BEC Offline y completar la biometria disponible.","Se registra el resultado; mensaje y navegacion no definidos quedan como gap y no debe generarse QR sin validacion compatible.","","","","","","","","","",""
"","Test Case","020 - BI - MB - HOME - BEC - Evitar cruce de datos entre cuentas offline","Explorar la vinculacion de datos cacheados con el usuario autenticado.","Comprueba que un usuario diferente no reciba datos ni QR de otra cuenta.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC1, AC2","Exploratory/LLM","Exploratory","3 - Baja","1 - Alta"
"","","","","","1","Abrir la aplicacion offline con datos cacheados de un usuario BEC e iniciar con otro usuario.","Se observa la elegibilidad y la cuenta asociada. No deben exponerse datos cacheados de otra cuenta.","","","","","","","","","","",""
"","","","","","2","Intentar acceder a BEC Offline y completar biometria si el acceso aparece disponible.","No debe generarse un QR con datos de otra cuenta; la politica exacta ante discrepancia queda como gap.","","","","","","","","","",""
"","Test Case","021 - BI - MB - HOME - BEC - Evaluar cambio de hora durante vigencia","Explorar el efecto de modificar el reloj del dispositivo sobre certificado y QR.","Comprueba la consistencia temporal sin asumir que la hora local sea la fuente valida.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Exploratory/LLM","Exploratory","3 - Baja","3 - Baja"
"","","","","","1","Con un QR activo cambiar la hora del dispositivo hacia adelante o hacia atras en un entorno controlado.","Se registra el estado del certificado, QR, contador y regeneracion. La fuente de tiempo y la respuesta al cambio son gaps.","","","","","","","","","","",""
"","Test Case","022 - BI - MB - HOME - BEC - Mantener QR visible al cambiar orientacion","Explorar la presentacion mobile del QR al cambiar orientacion o tamano.","Comprueba la visibilidad del QR y la estabilidad del contador ante cambios de layout.","","","","Soluciones\\Canales\\PRD-Billetera\\SCT-Billetera","","Design","PENDING","","23638","AC2","Exploratory/LLM","Exploratory","3 - Baja","3 - Baja"
"","","","","","1","Con el QR visible rotar el dispositivo o cambiar el tamano disponible.","Se registra la adaptacion visual y el estado del contador; no debe generarse otro QR ni reiniciarse el contador sin indicacion.","","","","","","","","","","",""
